object,ra,dec
J0448-6700,04 48 22,-66 59 52
J0449-6920,04 49 20,-69 20 20
J0450-7050,04 50 27,-70 50 15
J0453-6655,04 53 14,-66 55 13
J0453-6829,04 53 38,-68 29 27
J0454-6713,04 54 33,-67 13 13
J0454-6626,04 54 49,-66 25 32
J0455-6839,04 55 37,-68 38 47
J0459-7008,04 59 55,-70 07 52
J0505-6753,05 05 42,-67 52 39
J0505-6802,05 05 55,-68 01 47
J0506-6541,05 06 05,-65 41 08
J0506-7026,05 06 50,-70 25 53
J0508-6902,05 08 37,-69 02 54
J0508-6830,05 08 50,-68 30 50
J0509-6844,05 08 59,-68 43 35
J0509-6731,05 09 31,-67 31 17
J0511-6759,05 11 11,-67 59 08
J0512-6707,05 12 27,-67 07 18
J0513-6912,05 13 14,-69 12 20
J0514-6840,05 14 16,-68 40 22
J0517-6759,05 17 08,-67 59 29
J0518-6939,05 18 41,-69 39 12
J0519-6902,05 19 35,-69 02 09
J0519-6926,05 19 44,-69 26 08
J0521-6543,05 21 39,-65 43 07
J0523-6753,05 23 07,-67 53 12
J0524-6624,05 24 20,-66 24 23
J0525-6938,05 25 04,-69 38 24
J0525-6559,05 25 25,-65 59 19
J0526-6605,05 26 00,-66 04 57
J0527-6912,05 27 39,-69 12 04
J0527-6550,05 27 54,-65 49 38
J0527-6714,05 27 56,-67 13 40
J0527-7104,05 27 57,-71 04 30
J0528-6727,05 28 05,-67 27 20
J0529-6653,05 29 51,-66 53 28
J0530-7008,05 30 40,-70 07 30
J0531-7100,05 31 56,-71 00 19
J0532-6732,05 32 30,-67 31 33
J0533-7202,05 33 46,-72 02 59
J0534-6955,05 34 02,-69 55 03
J0534-7033,05 34 18,-70 33 26
J0535-6916,05 35 28,-69 16 11
J0535-6602,05 35 44,-66 02 14
J0535-6918,05 35 46,-69 18 02
J0536-6735,05 36 03,-67 34 36
J0536-7039,05 36 07,-70 38 37
J0536-6913,05 36 17,-69 13 28
J0537-6628,05 37 27,-66 27 50
J0537-6910,05 37 46,-69 10 28
J0540-6944,05 39 59,-69 44 02
J0540-6920,05 40 11,-69 19 55
J0541-6659,05 41 51,-66 59 04
J0543-6858,05 43 08,-68 58 18
J0547-6943,05 46 59,-69 42 50
J0547-6941,05 47 22,-69 41 26
J0547-7025,05 47 49,-70 24 54
J0550-6823,05 50 30,-68 22 40
J0512-6717,05 12 24,-67 17 24
J0504-6723,05 04 49,-67 23 51
J0527-7134,05 27 50,-71 34 10
J0447-6919,04 47 10,-69 19 07
